"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Physically inactive","25.7","%","14182","3642","0.265","0.248","19725"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Fairly active","7.4","%","724","53","0.097","0.055","784"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Physically active","63.3","%","724","459","0.684","0.579","784"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Physically inactive","29.3","%","724","212","0.346","0.245","784"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","112"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Physically active","59.5","%","90","53","0.718","0.459","112"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East Midlands","Region","All","16+","All","Physically inactive","27","%","90","24","0.397","0.173","112"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","13.6","%","21749","2953","0.142","0.13","26006"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","61.1","%","21749","13296","0.62","0.603","26006"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","25.3","%","21749","5500","0.261","0.245","26006"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","19.6","%","859","168","0.514","0.155","749"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","56.5","%","859","486","0.615","0.514","749"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","23.9","%","859","205","0.283","0.201","749"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","22.1","%","331","73","0.469","0.147","299"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","55.9","%","331","185","0.645","0.469","299"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","22","%","331","73","0.292","0.162","299"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","116"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","59.2","%","104","62","0.712","0.46","116"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","30.7","%","104","32","0.436","0.203","116"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","238"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","71","%","286","203","0.788","0.618","238"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","16.7","%","286","48","0.247","0.11","238"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","13.4","%","18150","2424","0.606","0.127","22222"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","61.5","%","18150","11170","0.625","0.606","22222"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","25.1","%","18150","4556","0.259","0.243","22222"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","11.8","%","1209","143","0.57","0.098","1431"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","60.8","%","1209","735","0.645","0.57","1431"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","27.4","%","1209","331","0.312","0.24","1431"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","144"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically active","58.3","%","161","94","0.693","0.464","144"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","East","Region","All","16+","All","Physically inactive","30.3","%","161","49","0.417","0.209","144"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","12.3","%","30542","3754","0.13","0.116","19887"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","63.5","%","30542","19387","0.645","0.625","19887"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","24.2","%","30542","7401","0.251","0.234","19887"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","13.7","%","5728","783","0.157","0.119","2365"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","54.7","%","5728","3134","0.576","0.518","2365"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","31.6","%","5728","1810","0.343","0.29","2365"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","14.2","%","2566","366","0.17","0.118","1297"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","57.7","%","2566","1480","0.614","0.539","1297"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","28.1","%","2566","721","0.315","0.249","1297"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","12.3","%","587","72","0.18","0.082","319"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","61.1","%","587","358","0.679","0.538","319"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","26.6","%","587","156","0.335","0.207","319"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","8","%","1111","89","0.111","0.057","522"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","73.4","%","1111","815","0.779","0.683","522"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","18.6","%","1111","207","0.232","0.147","522"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","11.8","%","13723","1623","0.127","0.11","10782"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","67.1","%","13723","9207","0.683","0.658","10782"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","21.1","%","13723","2892","0.222","0.2","10782"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","11.1","%","4028","447","0.128","0.096","2855"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","68.9","%","4028","2775","0.714","0.663","2855"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","20","%","4028","806","0.225","0.178","2855"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Fairly active","13.8","%","1184","163","0.183","0.103","529"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically active","55.6","%","1184","658","0.615","0.496","529"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","London","Region","All","16+","All","Physically inactive","30.6","%","1184","362","0.364","0.254","529"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","11.8","%","9560","1132","0.128","0.109","9046"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","60.2","%","9560","5758","0.617","0.587","9046"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","27.9","%","9560","2670","0.293","0.266","9046"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","152"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","58.3","%","205","120","0.701","0.455","152"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","30.7","%","205","63","0.438","0.201","152"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","30"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","?","%","?","?","?","?","30"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","30"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","49"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","?","%","?","?","?","?","49"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","49"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","51"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","77.6","%","62","48","0.89","0.596","51"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","51"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","12","%","8757","1049","0.13","0.11","8305"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","60.4","%","8757","5287","0.619","0.588","8305"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","27.6","%","8757","2420","0.291","0.263","8305"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","211"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","65.8","%","186","122","0.768","0.528","211"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","23.7","%","186","44","0.379","0.137","211"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","39"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically active","?","%","?","?","?","?","39"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North East","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","39"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","12.1","%","25691","3112","0.127","0.116","28223"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","60.7","%","25691","15600","0.616","0.599","28223"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","27.2","%","25691","6980","0.28","0.264","28223"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","12.8","%","1350","173","0.157","0.104","973"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","55.8","%","1350","753","0.6","0.514","973"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","31.4","%","1350","424","0.356","0.276","973"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","253"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","53.9","%","297","160","0.621","0.455","253"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","35","%","297","104","0.434","0.275","253"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","153"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","44","%","177","78","0.548","0.337","153"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","46.3","%","177","82","0.572","0.357","153"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","219"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","64","%","269","172","0.731","0.539","219"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","24.7","%","269","66","0.34","0.173","219"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","12.2","%","21865","2658","0.128","0.116","24794"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","61.3","%","21865","13401","0.622","0.604","24794"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","26.6","%","21865","5807","0.274","0.257","24794"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","11.4","%","870","99","0.144","0.089","904"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","67.9","%","870","591","0.72","0.636","904"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","20.7","%","870","180","0.245","0.173","904"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","173"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically active","50.4","%","166","84","0.598","0.409","173"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","North West","Region","All","16+","All","Physically inactive","37.9","%","166","63","0.474","0.291","173"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","12.2","%","32052","3908","0.127","0.117","36302"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","64.4","%","32052","20631","0.651","0.637","36302"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","23.4","%","32052","7513","0.241","0.228","36302"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","12.6","%","1307","164","0.154","0.102","1219"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","59.9","%","1307","783","0.639","0.557","1219"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","27.6","%","1307","360","0.315","0.239","1219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","9.4","%","338","32","0.14","0.062","317"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","67.2","%","338","227","0.742","0.594","317"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","23.4","%","338","79","0.308","0.173","317"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","18.3","%","174","32","0.299","0.105","176"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","59.4","%","174","103","0.7","0.478","176"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","22.3","%","174","39","0.323","0.147","176"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","13.8","%","431","60","0.195","0.096","369"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","72.8","%","431","314","0.788","0.659","369"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","13.3","%","431","57","0.186","0.094","369"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","12.1","%","26984","3276","0.126","0.116","30877"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","64.8","%","26984","17484","0.655","0.64","30877"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","23.1","%","26984","6225","0.237","0.224","30877"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","11.5","%","1610","186","0.137","0.097","1945"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","64.5","%","1610","1038","0.675","0.614","1945"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","24","%","1610","386","0.268","0.214","1945"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Fairly active","12.7","%","250","32","0.182","0.087","250"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically active","52.5","%","250","132","0.607","0.443","250"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South East","Region","All","16+","All","Physically inactive","34.8","%","250","87","0.434","0.27","250"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","12.2","%","19953","2443","0.13","0.116","22405"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","65.3","%","19953","13024","0.663","0.643","22405"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","22.5","%","19953","4486","0.233","0.217","22405"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","11.3","%","265","30","0.171","0.073","220"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","64.5","%","265","171","0.721","0.56","220"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","24.2","%","265","64","0.321","0.177","220"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","96"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","53.2","%","121","64","0.67","0.39","96"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","37.9","%","121","46","0.533","0.246","96"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","61"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","62.7","%","46","29","0.76","0.472","61"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","61"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","12.3","%","215","27","0.213","0.068","153"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","64.6","%","215","139","0.765","0.505","153"
